ID Caso,Código DANE de Municipio,Municipio,Departamento,Año,Mes,Día,ID Persona,Sexo,Etnia,Ocupación,Calidad de la Víctima o la Baja,Tipo de Población Vulnerable,Militante Político,Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Situación Actual de la Víctima,Fuente de Información de la Desaparición,Edad,latitud-longitud
231805,05579,PUERTO BERRIO,ANTIOQUIA,1996,10,24,253080,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-74.5287421 6.481922267)
231805,05579,PUERTO BERRIO,ANTIOQUIA,1996,10,24,253081,SIN INFORMACION,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-74.5287421 6.481922267)
231805,05579,PUERTO BERRIO,ANTIOQUIA,1996,10,24,253082,SIN INFORMACION,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-74.5287421 6.481922267)
231808,05579,PUERTO BERRIO,ANTIOQUIA,1996,10,25,253083,HOMBRE,,OTRA ¿CUÁL?,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-74.409962 6.48701)
231808,05579,PUERTO BERRIO,ANTIOQUIA,1996,10,25,253084,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-74.409962 6.48701)
231811,68615,RIONEGRO,SANTANDER,1996,10,25,253086,HOMBRE,,DESEMPLEADO,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-73.19702253 7.238462891)
231812,05837,TURBO,ANTIOQUIA,1996,10,26,253087,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.5740377 8.173851745)
231813,86569,PUERTO CAICEDO,PUTUMAYO,1996,10,26,253088,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADOLESCENCIA (12-17 AÑOS),POINT (-76.49864415 0.70416861)
231814,05591,PUERTO TRIUNFO,ANTIOQUIA,1996,10,26,253089,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN,PERPETRADOR DEL HECHO,,POINT (-74.6861918 5.954830151)
231815,05411,LIBORINA,ANTIOQUIA,1996,10,26,253090,MUJER,,SIN INFORMACIÓN,CIVIL,,,,,APARECIÓ VIVO,ENTIDAD PÚBLICA,ADOLESCENCIA (12-17 AÑOS),POINT (-75.82753655 6.779919535)
231816,05147,CAREPA,ANTIOQUIA,1996,10,26,253091,HOMBRE,,ECONOMÍA INFORMAL,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-76.55622853 7.745779734)
231817,05001,MEDELLIN,ANTIOQUIA,1996,10,26,253092,HOMBRE,,CONDUCTOR/MOTORISTA,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-75.61103107 6.257590259)
231819,05579,PUERTO BERRIO,ANTIOQUIA,1996,10,27,253094,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-74.5287421 6.481922267)
231820,05670,SAN ROQUE,ANTIOQUIA,1996,10,27,253095,HOMBRE,,TRABAJADOR DE FINCA,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-74.9450732 6.466165211)
231838,25805,TIBACUY,CUNDINAMARCA,1996,10,27,253113,HOMBRE,,TRABAJADOR DE FINCA,CIVIL,,,,,APARECIÓ MUERTO,,,POINT (-74.48667274 4.321357899)
231839,85400,TAMARA,CASANARE,1996,10,27,253114,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-72.20067822 5.878927424)
231840,20750,SAN DIEGO,CESAR,1996,10,27,253115,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADOLESCENCIA (12-17 AÑOS),POINT (-73.14473008 10.24429187)
231844,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,1996,10,29,253119,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.57649259 3.399043723)
231845,00000,SIN INFORMACION,SIN INFORMACION,1996,10,29,253120,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-72 4)
231846,05234,DABEIBA,ANTIOQUIA,1996,10,29,253121,HOMBRE,,COMERCIANTE,CIVIL,,,,,APARECIÓ MUERTO,,ADULTEZ (29-59 AÑOS),POINT (-76.31426328 6.992243782)
231847,05045,APARTADO,ANTIOQUIA,1996,10,30,253122,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-76.58236264 7.86047815)
231848,81794,TAME,ARAUCA,1996,10,30,253123,MUJER,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADOLESCENCIA (12-17 AÑOS),POINT (-71.79178647 6.390650479)
231849,54001,CUCUTA,NORTE DE SANTANDER,1996,10,30,253124,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,APARECIÓ MUERTO,,,POINT (-72.48862641 8.112041811)
231850,05579,PUERTO BERRIO,ANTIOQUIA,1996,10,30,253125,MUJER,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-74.5287421 6.481922267)
231853,23464,MOMIL,CORDOBA,1996,10,31,253128,HOMBRE,INDÍGENA,SIN INFORMACIÓN,CIVIL,AUTORIDAD INDÍGENA,,,,APARECIÓ MUERTO,,,POINT (-75.65090876 9.265461621)
231854,50573,PUERTO LOPEZ,META,1996,10,31,253129,HOMBRE,,SIN INFORMACIÓN,CIVIL,OTRA ¿CUÁL?,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-72.64570499 4.014298921)
231855,81794,TAME,ARAUCA,1996,11,1,253130,MUJER,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-71.79178647 6.390650479)
231856,81794,TAME,ARAUCA,1996,11,1,253131,MUJER,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-71.79178647 6.390650479)
