"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total Combatientes","Total Civiles","Total de Víctimas del Caso","Tipo de Armas","latitud-longitud"
"722,123",,"2,022","2","9","50313","GRANADA","META","ARIARI GUAYABERO","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","4","0","0",,,"1","0","1","ARTEFACTO EXPLOSIVO","POINT (-73.7611547 3.441051399)"
"722,308",,"2,022","3","26","11001","BOGOTA, D.C.","BOGOTA, D. C.","AREA METROPOLITANA DE BOGOTA","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","0","0","0","39","0","0",,,"0","2","2","ARTEFACTO EXPLOSIVO","POINT (-74.107359 4.650173)"
"722,369","CR2017722369","2,022","7","26","20383","LA GLORIA","CESAR","MAGDALENA MEDIO","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","GRUPO ARMADO NO IDENTIFICADO","PRESENCIA GAO SIN ATRIBUCIÓN","0","0","0","0","0","0","2","0","0",,,"0","0","0","ARMA DE FUEGO - ARTEFACTO EXPLOSIVO","POINT (-73.61602384 8.588002247)"
"722,399",,"2,022","7","30","54810","TIBU","NORTE DE SANTANDER","CATATUMBO","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","GRUPO ARMADO NO IDENTIFICADO","PRESENCIA GAO SIN ATRIBUCIÓN","0","0","0","0","0","0","6","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-72.79925855 8.713507237)"
"732,450",,"2,022","7","17","19532","PATIA","CAUCA","PATIA","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","0","0","0","7","0","0",,,"0","1","1","ARTEFACTO EXPLOSIVO","POINT (-77.0465762 2.157983906)"
"732,674",,"1,948","3","14","25658","SAN FRANCISCO","CUNDINAMARCA","NOROCCIDENTE DE CUNDINAMARCA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","BANDOLERISMO","BANDOLERISMO CONSERVADOR","0","0","0","0","0","0","5","0","0",,,"0","0","0","ARMA CORTO PUNZANTE","POINT (-74.27217129 4.964100703)"
"732,708",,"1,944","8","3","68001","BUCARAMANGA","SANTANDER","PROVINCIA DE SOTO","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","AGENTE EXTRANJERO","OTRO","0","0","0","0","0","0","26","0","0",,,"3","0","3","ARTEFACTO EXPLOSIVO","POINT (-73.11156997 7.155833544)"
"732,735",,"1,948","3","18","11001","BOGOTA, D.C.","BOGOTA, D. C.","AREA METROPOLITANA DE BOGOTA","DESCONOCIDA","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","30","0","0",,"ATAQUE A LOS CIVILES CON GASES Y YAGANES POR PARTE DE LA POLICÍA.","0","0","0","ARTEFACTO EXPLOSIVO","POINT (-74.107359 4.650173)"
"732,841",,"1,948","3","28","15632","SABOYA","BOYACA","ALTIPLANO CUNDIBOYACENSE","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","BANDOLERISMO","BANDOLERISMO CONSERVADOR","0","0","0","0","0","0","0","0","0",,,"0","4","4","ARMA DE FUEGO","POINT (-73.74799466 5.699926051)"
"732,862",,"1,948","1","8","17042","ANSERMA","CALDAS","EJE CAFETERO","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","BANDOLERISMO","NO IDENTIFICADO","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-75.784343 5.236471)"
"742,983","CR2017742983","1,948","2","13","68432","MALAGA","SANTANDER","PROVINCIA DE GARCIA ROVIRA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","BANDOLERISMO","BANDOLERISMO CONSERVADOR","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-72.73841091 6.720222349)"
"743,226",,"1,948","4","9","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","SUR DEL VALLE","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,"LUCHA ENTRE LA POLICÍA Y LOS EXALTADOS LO CUAL GENERA VARIOS HERIDOS Y DOS MUERTOS.","0","0","2","ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI","POINT (-76.57649259 3.399043723)"
"743,267",,"1,953","11","4","73483","NATAGAIMA","TOLIMA","SUR DEL TOLIMA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","1","0","0",,,"0","0","1","ARTEFACTO EXPLOSIVO","POINT (-75.12200999 3.540518203)"
"743,351",,"1,948","7","1","76834","TULUA","VALLE DEL CAUCA","CENTRO DEL VALLE","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","AGENTE DEL ESTADO","POLICÍA NACIONAL","0","0","0","0","0","0","1","0","0",,,"0","0","0","ARMA DE FUEGO","POINT (-76.08903017 4.038738498)"
"743,354",,"1,948","7","21","05809","TITIRIBI","ANTIOQUIA","SUROESTE ANTIOQUEÑO","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,"DAÑO A BIENES CIVILES.","0","0","0","ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI","POINT (-75.791549 6.06098)"
"743,394",,"1,948","8","27","76834","TULUA","VALLE DEL CAUCA","CENTRO DEL VALLE","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,"DAÑO A BIENES CIVILES.","0","0","0","ARTEFACTO EXPLOSIVO - MATERIAL INCENDIARIO","POINT (-76.08903017 4.038738498)"
